Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,113,8,Some Random Commen with Id 0
1,0,2,116,2,Some Random Commen with Id 1
2,0,2,115,4,Some Random Commen with Id 2
3,0,2,10,7,Some Random Commen with Id 3
4,1,2,47,9,Some Random Commen with Id 4
5,2,0,40,9,Some Random Commen with Id 5
6,2,0,35,2,Some Random Commen with Id 6
7,2,0,184,5,Some Random Commen with Id 7
8,3,4,77,8,Some Random Commen with Id 8
9,4,4,122,6,Some Random Commen with Id 9
10,4,4,51,0,Some Random Commen with Id 10
11,4,4,109,7,Some Random Commen with Id 11
12,4,4,108,5,Some Random Commen with Id 12
13,5,1,134,5,Some Random Commen with Id 13
14,5,1,73,7,Some Random Commen with Id 14
15,5,1,100,9,Some Random Commen with Id 15
16,5,1,150,5,Some Random Commen with Id 16
17,6,8,91,0,Some Random Commen with Id 17
18,6,8,23,2,Some Random Commen with Id 18
19,6,8,18,7,Some Random Commen with Id 19
20,6,8,85,3,Some Random Commen with Id 20
21,6,8,174,8,Some Random Commen with Id 21
22,6,8,46,8,Some Random Commen with Id 22
23,7,7,102,1,Some Random Commen with Id 23
24,7,7,41,0,Some Random Commen with Id 24
25,7,7,96,1,Some Random Commen with Id 25
26,8,6,19,6,Some Random Commen with Id 26
27,8,6,5,5,Some Random Commen with Id 27
28,8,6,162,5,Some Random Commen with Id 28
29,8,6,53,5,Some Random Commen with Id 29
30,9,2,18,6,Some Random Commen with Id 30
31,9,2,12,1,Some Random Commen with Id 31
32,9,2,175,1,Some Random Commen with Id 32
33,9,2,84,6,Some Random Commen with Id 33
34,10,5,186,7,Some Random Commen with Id 34
35,10,5,43,5,Some Random Commen with Id 35
36,10,5,189,2,Some Random Commen with Id 36
37,10,5,157,4,Some Random Commen with Id 37
38,11,2,153,4,Some Random Commen with Id 38
39,11,2,44,2,Some Random Commen with Id 39
40,11,2,113,8,Some Random Commen with Id 40
41,12,1,58,0,Some Random Commen with Id 41
42,12,1,139,6,Some Random Commen with Id 42
43,12,1,43,4,Some Random Commen with Id 43
44,12,1,56,7,Some Random Commen with Id 44
45,12,1,161,8,Some Random Commen with Id 45
46,12,1,17,3,Some Random Commen with Id 46
47,13,7,70,0,Some Random Commen with Id 47
48,13,7,131,1,Some Random Commen with Id 48
49,13,7,131,6,Some Random Commen with Id 49
50,13,7,44,8,Some Random Commen with Id 50
51,13,7,9,4,Some Random Commen with Id 51
52,13,7,55,5,Some Random Commen with Id 52
53,13,7,167,2,Some Random Commen with Id 53
54,14,5,41,5,Some Random Commen with Id 54
55,14,5,39,1,Some Random Commen with Id 55
56,14,5,11,7,Some Random Commen with Id 56
57,14,5,97,7,Some Random Commen with Id 57
58,14,5,135,3,Some Random Commen with Id 58
59,14,5,173,6,Some Random Commen with Id 59
60,14,5,10,1,Some Random Commen with Id 60
61,14,5,47,2,Some Random Commen with Id 61
62,15,2,190,5,Some Random Commen with Id 62
63,15,2,110,9,Some Random Commen with Id 63
64,15,2,162,2,Some Random Commen with Id 64
65,16,0,162,3,Some Random Commen with Id 65
66,16,0,174,4,Some Random Commen with Id 66
67,18,5,169,5,Some Random Commen with Id 67
68,18,5,1,6,Some Random Commen with Id 68
69,18,5,112,9,Some Random Commen with Id 69
70,18,5,28,5,Some Random Commen with Id 70
71,18,5,30,7,Some Random Commen with Id 71
72,19,5,81,3,Some Random Commen with Id 72
73,20,1,32,7,Some Random Commen with Id 73
74,20,1,113,2,Some Random Commen with Id 74
75,20,1,147,5,Some Random Commen with Id 75
76,20,1,124,0,Some Random Commen with Id 76
77,20,1,12,2,Some Random Commen with Id 77
78,20,1,71,3,Some Random Commen with Id 78
79,20,1,118,3,Some Random Commen with Id 79
80,20,1,55,7,Some Random Commen with Id 80
81,23,3,68,6,Some Random Commen with Id 81
82,23,3,26,7,Some Random Commen with Id 82
83,23,3,12,2,Some Random Commen with Id 83
84,23,3,10,1,Some Random Commen with Id 84
85,24,3,116,2,Some Random Commen with Id 85
86,24,3,168,2,Some Random Commen with Id 86
87,24,3,172,0,Some Random Commen with Id 87
88,24,3,127,5,Some Random Commen with Id 88
89,25,8,52,4,Some Random Commen with Id 89
90,25,8,132,1,Some Random Commen with Id 90
91,25,8,24,3,Some Random Commen with Id 91
92,25,8,27,8,Some Random Commen with Id 92
93,25,8,40,5,Some Random Commen with Id 93
94,25,8,42,2,Some Random Commen with Id 94
95,25,8,66,4,Some Random Commen with Id 95
96,25,8,123,1,Some Random Commen with Id 96
97,25,8,117,7,Some Random Commen with Id 97
98,26,9,126,1,Some Random Commen with Id 98
99,28,9,8,3,Some Random Commen with Id 99
100,28,9,82,3,Some Random Commen with Id 100
101,28,9,183,0,Some Random Commen with Id 101
102,28,9,43,2,Some Random Commen with Id 102
103,29,9,131,0,Some Random Commen with Id 103
104,30,1,137,4,Some Random Commen with Id 104
105,30,1,14,9,Some Random Commen with Id 105
106,30,1,131,5,Some Random Commen with Id 106
107,30,1,190,2,Some Random Commen with Id 107
108,30,1,58,6,Some Random Commen with Id 108
109,30,1,62,2,Some Random Commen with Id 109
110,30,1,163,5,Some Random Commen with Id 110
111,30,1,78,8,Some Random Commen with Id 111
112,30,1,10,7,Some Random Commen with Id 112
113,31,9,33,8,Some Random Commen with Id 113
114,31,9,97,5,Some Random Commen with Id 114
115,32,7,119,0,Some Random Commen with Id 115
116,32,7,123,2,Some Random Commen with Id 116
117,32,7,192,7,Some Random Commen with Id 117
118,32,7,135,6,Some Random Commen with Id 118
119,32,7,194,6,Some Random Commen with Id 119
120,32,7,130,3,Some Random Commen with Id 120
121,32,7,7,3,Some Random Commen with Id 121
122,32,7,94,0,Some Random Commen with Id 122
123,33,7,152,6,Some Random Commen with Id 123
124,33,7,43,0,Some Random Commen with Id 124
125,33,7,45,3,Some Random Commen with Id 125
126,33,7,34,8,Some Random Commen with Id 126
127,33,7,41,5,Some Random Commen with Id 127
128,33,7,66,3,Some Random Commen with Id 128
129,33,7,51,2,Some Random Commen with Id 129
130,33,7,69,7,Some Random Commen with Id 130
131,34,5,6,1,Some Random Commen with Id 131
132,34,5,136,2,Some Random Commen with Id 132
133,34,5,140,4,Some Random Commen with Id 133
134,34,5,156,3,Some Random Commen with Id 134
135,34,5,2,0,Some Random Commen with Id 135
136,34,5,172,0,Some Random Commen with Id 136
137,34,5,75,0,Some Random Commen with Id 137
138,35,4,106,0,Some Random Commen with Id 138
139,35,4,20,7,Some Random Commen with Id 139
140,35,4,8,5,Some Random Commen with Id 140
141,35,4,86,3,Some Random Commen with Id 141
142,35,4,95,0,Some Random Commen with Id 142
143,35,4,133,1,Some Random Commen with Id 143
144,35,4,131,1,Some Random Commen with Id 144
145,35,4,141,8,Some Random Commen with Id 145
146,36,2,70,1,Some Random Commen with Id 146
147,36,2,47,2,Some Random Commen with Id 147
148,36,2,12,1,Some Random Commen with Id 148
149,37,4,90,6,Some Random Commen with Id 149
150,37,4,199,3,Some Random Commen with Id 150
151,37,4,24,3,Some Random Commen with Id 151
152,37,4,105,6,Some Random Commen with Id 152
153,37,4,139,4,Some Random Commen with Id 153
154,38,5,107,4,Some Random Commen with Id 154
155,38,5,68,0,Some Random Commen with Id 155
156,38,5,40,8,Some Random Commen with Id 156
157,38,5,22,6,Some Random Commen with Id 157
158,38,5,86,5,Some Random Commen with Id 158
159,38,5,60,5,Some Random Commen with Id 159
160,38,5,71,8,Some Random Commen with Id 160
161,39,1,167,2,Some Random Commen with Id 161
162,39,1,84,0,Some Random Commen with Id 162
